,date,iv,BS
362,2019-06-12,0.1347201914300361,0.137359
363,2019-06-13,0.13798112616265987,0.131994
364,2019-06-14,0.0818797136320678,0.133073
365,2019-06-17,0.08387569564795624,0.134063
366,2019-06-18,0.09397509129260563,0.128779
367,2019-06-19,0.35543496314502865,0.127688
368,2019-06-20,0.36629851387057005,0.129732
369,2019-06-21,0.06123180913579534,0.135081
370,2019-06-24,0.04293951371655471,0.132682
371,2019-06-25,0.0448763787857048,0.146767
372,2019-06-26,0.02050443932331512,0.148721
373,2019-06-27,0.020561901099637875,0.148244
374,2019-06-28,0.04091309670636896,0.135107
375,2019-07-01,0.03370837138123178,0.115759
376,2019-07-02,0.02985258533882784,0.104164
377,2019-07-03,0.035779109088402546,0.102791
378,2019-07-05,0.025519221416011754,0.100271
379,2019-07-08,0.03356319302248822,0.116199
380,2019-07-09,0.03792645870317164,0.123373
381,2019-07-10,0.03990951367259292,0.109382
382,2019-07-11,0.0381498048424963,0.10766
383,2019-07-12,0.024838297689727694,0.099223
384,2019-07-15,0.03371117732088508,0.103774
385,2019-07-16,0.03480161081296352,0.104937
386,2019-07-17,0.06025827943097242,0.11849
387,2019-07-18,0.05046891599971758,0.11145
388,2019-07-19,0.03273231371510424,0.118687
389,2019-07-22,0.03653388875413906,0.112752
390,2019-07-23,0.03437528752939845,0.101248
391,2019-07-24,0.0358393308578489,0.101035
392,2019-07-25,0.03405828509049676,0.10196
393,2019-07-26,0.027552372408922707,0.099796
394,2019-07-29,0.03536068892020426,0.10906
395,2019-07-30,0.03667727023964185,0.11169
396,2019-07-31,0.019206471682897464,0.138633
397,2019-08-01,0.020197949547788325,0.161018
398,2019-08-02,0.019161241152087304,0.164083
399,2019-08-05,0.05460150053966207,0.218973
400,2019-08-06,0.05363582126954471,0.17865
401,2019-08-07,0.05156628041214155,0.186293
402,2019-08-08,0.04357460912862089,0.139363
403,2019-08-09,0.04530110387767303,0.152249
404,2019-08-12,0.05619029515712975,0.188979
405,2019-08-13,0.047497094837071055,0.149619
406,2019-08-14,0.059871299131020884,0.214177
407,2019-08-15,0.05725129246751797,0.202515
408,2019-08-16,0.05208149758759657,0.166513
409,2019-08-19,0.050113204098393205,0.150824
410,2019-08-20,0.0500860084428171,0.158863
411,2019-08-21,0.30383026577035355,0.140604
412,2019-08-22,0.3037158636165039,0.145744
413,2019-08-23,0.039473317218625355,0.174319
414,2019-08-26,0.08627260127384664,0.165299
415,2019-08-27,0.08829244771326607,0.182981
416,2019-08-28,0.10387620414277303,0.168617
417,2019-08-29,0.1141107230558818,0.150979
418,2019-08-30,0.30397082711680284,0.161063
419,2019-09-03,0.05124217674006766,0.164732
420,2019-09-04,0.10652223791186854,0.143262
421,2019-09-05,0.11740770684956436,0.126337
422,2019-09-06,0.07907432669090085,0.117225
423,2019-09-09,0.08178784747434464,0.118886
424,2019-09-10,0.08028590949229812,0.113439
425,2019-09-11,0.11256990702975934,0.115119
426,2019-09-12,0.11638675313212152,0.114772
427,2019-09-13,0.09513972366784845,0.106148
428,2019-09-16,0.09457647939766672,0.120179
429,2019-09-17,0.0963775177568251,0.116319
430,2019-09-18,0.41164613223616064,0.115209
431,2019-09-19,0.41160361996619704,0.114443
432,2019-09-20,0.08241835398830205,0.134253
433,2019-09-23,0.04060766789144613,0.131303
434,2019-09-24,0.04288801600580635,0.147321
435,2019-09-25,0.044736628517584094,0.140952
436,2019-09-26,0.04334198527600739,0.139979
437,2019-09-27,0.0443090726500695,0.149
438,2019-09-30,0.04650082854869481,0.147204
439,2019-10-01,0.04751235824666162,0.165991
440,2019-10-02,0.022724116153725136,0.192252
441,2019-10-03,0.05050648610929746,0.177375
442,2019-10-04,0.04939115320299342,0.154773
443,2019-10-07,0.05234610320274585,0.168534
444,2019-10-08,0.054769886237209964,0.192524
445,2019-10-09,0.022597411217250327,0.175971
446,2019-10-10,0.020979220493623354,0.164174
447,2019-10-11,0.04753060811636226,0.146861
448,2019-10-14,0.04211653670720133,0.134641
449,2019-10-15,0.039933684934907836,0.121044
450,2019-10-16,0.04941684182026935,0.124807
451,2019-10-17,0.04646999910381258,0.121309
452,2019-10-18,0.04237468471652521,0.132145
453,2019-10-21,0.03911508756963064,0.122312
454,2019-10-22,0.03934387701478002,0.126846
455,2019-10-23,0.04147712609916127,0.121202
456,2019-10-24,0.04163777089273386,0.121667
457,2019-10-25,0.03790006207035743,0.108515
458,2019-10-28,0.03882037708605739,0.114481
459,2019-10-29,0.03741626258449965,0.11376
460,2019-10-30,0.03690280520665558,0.103845
461,2019-10-31,0.035491953630597366,0.105765
462,2019-11-01,0.03370472479808249,0.096347
463,2019-11-04,0.03539299793639512,0.104015
464,2019-11-05,0.03512470567201992,0.105215
465,2019-11-06,0.037610443187728534,0.107453
466,2019-11-07,0.03634176114329545,0.106161
467,2019-11-08,0.034206705548823324,0.097692
468,2019-11-11,0.03538285833523508,0.108703
469,2019-11-12,0.03423798802873328,0.105101
470,2019-11-13,0.03997868231142522,0.114149
471,2019-11-14,0.03768680310729491,0.107762
472,2019-11-15,0.03410436766612403,0.096329
473,2019-11-18,0.03478663161211676,0.102253
474,2019-11-19,0.03559939055003837,0.104595
475,2019-11-20,0.36895026162253336,0.101147
476,2019-11-21,0.3675262362910488,0.108939
477,2019-11-22,0.08473049229200917,0.100167
478,2019-11-25,0.1756832701559758,0.092187
479,2019-11-26,0.04984685284820922,0.090237
480,2019-11-27,0.05204722541865686,0.09069
481,2019-11-29,0.07699668627018919,0.096822
482,2019-12-02,0.34663129756262134,0.117142
483,2019-12-03,0.03733412658992081,0.133906
484,2019-12-04,0.07908379668296292,0.126371
485,2019-12-05,0.07963114022761307,0.120489
486,2019-12-06,0.08906468224078835,0.10514
487,2019-12-09,0.07744095369051077,0.122031
488,2019-12-10,0.07926936968724267,0.121633
489,2019-12-11,0.0989716347719634,0.125403
490,2019-12-12,0.1059805764704099,0.109675
491,2019-12-13,0.08840338353342964,0.095764
492,2019-12-16,0.08451863003324418,0.093948
493,2019-12-17,0.0844844059809097,0.091259
494,2019-12-18,0.5705418273189259,0.099631
495,2019-12-19,0.5742176559040666,0.093632
496,2019-12-20,0.5780271632210556,0.103788
497,2019-12-23,0.03378119548358718,0.096625
498,2019-12-24,0.03322027903778511,0.096535
499,2019-12-26,0.02916009112915504,0.093792
500,2019-12-27,0.03608833654877801,0.106508
501,2019-12-30,0.03193972081409906,0.119542
502,2019-12-31,0.03519240587328888,0.110735
503,2020-01-02,0.02915924216187241,0.09849
504,2020-01-03,0.03694223261560752,0.123866
